serv_area_id,state,Org_ID,Program_Name,Addr1,Addr2,City,State,Zip,,,,
GU-1,GU,960007,Guam Legal Services Corporation,113 Bradley Place,,Hagatna,GU,96910-4911,Guam Legal Services Corporation ,(671) 477-9811 ,(671) 477-9811 ,http://gbla.org/ez.php?Page=3226 
ID-1,ID,913000,"Idaho Legal Aid Services, Inc.",310 North Fifth Street,,Boise,ID,83702-5907,"Idaho Legal Aid Services, Inc. ",(208) 336-8980 ,(208) 345-0106 ,http://www.lawhelp.org/GU/StateAboutUs.cfm/ 
IN-5,IN,515030,"Indiana Legal Services, Inc.","Market Square Ctr., Suite 1850",151 North Delaware Street,Indianapolis,IN,46204-2523,"Indiana Legal Services, Inc. ",(317) 631-9410 ,(800) 869-0212 ,http://www.idaholegalaid.org 
CA-12,CA,805230,"Inland Counties Legal Services, Inc.",1040 Iowa Avenue,Suite 101,Riverside,CA,92507-4219,"Inland Counties Legal Services, Inc. ",(951) 368-2555 ,(888) 245-4257 ,http://www.indianalegalservices.org/ 
IA-3,IA,516006,Iowa Legal Aid,1111 Ninth Street,Suite 230,Des Moines,IA,50314-2527,Iowa Legal Aid ,(515) 243-2151 ,(800) 532-1275 ,http://www.inlandlegal.org/ 
KS-1,KS,517001,"Kansas Legal Services, Inc.","712 S. Kansas Ave., Ste. 200",,Topeka,KS,66603,"Kansas Legal Services, Inc. ",(785) 233-2068 ,(800) 723-6953 ,http://www.iowalegalaid.org/ia/homepage.html 
KY-9,KY,618036,Kentucky Legal Aid,1700 Destiny Lane,,Bowling Green,KY,42104,Kentucky Legal Aid ,(270) 782-1924 ,(866) 452-9243 ,http://www.kansaslegalservices.org/ 
IL-6,IL,514020,LAF (Legal Assistance Foundation of Metropolitan Chicago),120 S. LaSalle Street,Suite 900,Chicago,IL,60603-3425,LAF (Legal Assistance Foundation of Metropolitan Chicago) ,(312) 341-1070 ,(312) 341-1070 ,http://www.klaid.org/ 
IL-3,IL,514050,"Land of Lincoln Legal Assistance Foundation, Inc.",8787 State Street,Suite 201,East St. Louis,IL,62203,"Land of Lincoln Legal Assistance Foundation, Inc. ",(618) 398-0574 ,(877) 342-7891 ,http://www.lafchicago.org/ 
PA-5,PA,339026,"Laurel Legal Services, Inc.",306 South Pennsylvania Avenue,,Greensburg,PA,15601-3066,"Laurel Legal Services, Inc. ",(724) 836-2211 ,(800) 253-9558 ,http://www.lollaf.org/ 
