serv_area_id,state,Org_ID,Program_Name,Addr1,Addr2,City,State,Zip,,,,
IL-7,IL,514076,"Prairie State Legal Services, Inc.",303 North Main Street #600,,Rockford,IL,61101,"Pine Tree Legal Assistance, Inc. ",(207) 774-4753 ,(207) 774-8211 ,http://www.ptla.org/index.html 
PR-1,PR,253010,"Puerto Rico Legal Services, Inc.",1859 Ave. Ponce de León-Pda 26,Apartado 9134,San Juan,PR,00908-9134,"Prairie State Legal Services, Inc. ",(815) 965-2134 ,(815) 965-2134 ,http://www.pslegal.org/ 
RI-1,RI,140000,"Rhode Island Legal Services, Inc.",56 Pine Street,4th Floor,Providence,RI,2903,"Puerto Rico Legal Services, Inc. ",(787) 728-8686 ,(800) 981-5342 ,http://www.slpr.org 
SC-8,SC,641030,"South Carolina  Legal Services, Inc.",701 S Main Street,,Greenville,SC,29601,"Rhode Island Legal Services, Inc. ",(401) 274-2652 ,(800) 662-5034 ,http://www.rils.org/ 
MA-12,MA,122087,South Coastal Counties Legal Services,P.O. Box 2507,"22 Bedford Street, 2nd Floor",Fall River,MA,2722,"South Carolina Legal Services, Inc. ",(803) 744-4179 ,(888) 346-5592 ,http://www.sclegal.org/ 
NJ-16,NJ,331020,"South Jersey Legal Services, Inc.",745 Market Street,,Camden,NJ,08102-1117,South Coastal Counties Legal Services ,(508) 979-7160 ,(800) 244-9023 ,http://www.ncla.net/ 
LA-1,LA,619081,Southeast Louisiana Legal Services Corporation,P. O. Drawer 2867,,Hammond,LA,70404-2867,"South Jersey Legal Services, Inc. ",(856) 964-2010 ,(856) 964-2010 ,http://www.lsnj.org/sjls 
LA-12,LA,619081,Southeast Louisiana Legal Services Corporation,P. O. Drawer 2867,,Hammond,LA,70404-2867,Southeast Louisiana Legal Services Corporation ,(504) 529-1000 ,(800) 349-0886 ,http://www.slls.org 
AZ-5,AZ,703050,"Southern Arizona Legal Aid, Inc.",2343 East Broadway ,Suite 200,Tucson,AZ,85719,"Southern Arizona Legal Aid, Inc. ",(520) 623-9465 ,(520) 623-9461 ,http://www.sazlegalaid.org/ 
MN-5,MN,524030,"Southern Minnesota Regional Legal Services, Inc.",Alliance Bank Center,"55 E. 5th Street, Suite 1000",St. Paul,MN,55101-1448,"Southern Minnesota Regional Legal Services, Inc. ",(651) 228-9823 ,(651) 228-9823 ,http://www.smrls.org/ 
VA-15,VA,447020,"Southwest Virginia Legal Aid Society, Inc.",227 West Cherry Street,,Marion,VA,24354,"Southwest Virginia Legal Aid Society, Inc. ",(276) 783-8300 ,(888) 201-2772 ,http://www.svlas.org/ 
PA-11,PA,339080,"Southwestern Pennsylvania Legal Services, Inc.",10 West Cherry Avenue,,Washington,PA,15301,"Southwestern Pennsylvania Legal Services, Inc. ",(724) 225-6170 ,(800) 846-0871 ,http://www.palegalservices.org/finder/southwestern_pa_legal_aid.htm 
CT-1,CT,107000,"Statewide Legal Services of Connecticut, Inc.",1290 Silas Deane Highway,Suite 3A,Wethersfield,CT,6109,"Statewide Legal Services of Connecticut, Inc. ",(860) 344-8096 ,(800) 453-3320 ,http://www.slsct.org/Home/PublicWeb 
TX-15,TX,744100,"Texas RioGrande Legal Aid, Inc.",300 South Texas Boulevard,,Weslaco,TX,78596,"Texas RioGrande Legal Aid, Inc. ",(956) 447-4800 ,(888) 988-9996 ,http://www.trla.org/ 
OH-21,OH,436050,The Legal Aid Society of Cleveland,1223 West Sixth Street,,Cleveland,OH,44113-1354,The Legal Aid Society of Cleveland ,(216) 687-1900 ,(216) 687-1900 ,http://www.lasclev.org/ 
FL-14,FL,610061,"Three Rivers Legal Services, Inc.",901 NW 8th Avenue,Suite D-5,Gainesville,FL,32601,"Three Rivers Legal Services, Inc. ",(352) 372-0519 ,(352) 372-0519 ,http://www.trls.org/ 
UT-1,UT,745000,"Utah Legal Services, Inc.",205 North 400 West,,Salt Lake City,UT,84103-1125,"Utah Legal Services, Inc. ",(801) 924-3381 ,(800) 662-4245 ,http://www.utahlegalservices.org 
VA-17,VA,447061,"Virginia Legal Aid Society, Inc.",513 Church Street,P.O. Box 6200,Lynchburg,VA,24505-6200,"Virginia Legal Aid Society, Inc. ",(434) 528-4722 ,(866) 534-5243 ,http://www.vlas.org/ 
MA-11,MA,122007,Volunteer Lawyers Project of the Boston Bar Association,"99 Chauncy Street, Suite 400",,Boston,MA,2111,Volunteer Lawyers Project of the Boston Bar Association ,(617) 423-0648 ,(617) 423-0648 ,http://www.vlpnet.org/ 
TN-7,TN,643061,"West Tennessee Legal Services, Inc.",210 W. Main Street,P.O. Box 2066,Jackson,TN,38302-2066,"West Tennessee Legal Services, Inc. ",(731) 426-1311 ,(800) 372-8346 ,http://www.wtls.org/ 
WI-2,WI,550020,"Wisconsin Judicare, Inc.","300 Third Street, Suite 210",P.O. Box 6100,Wausau,WI,54402-6100,"Wisconsin Judicare, Inc. ",(715) 842-1681 ,(800) 472-1638 ,http://www.judicare.org/ 
